Itinerary: ['earth', 'mars', 'pluto']
13286 : 2028-02-20, [0.6836201934228227, 15.816379806577178]
13287 : 2028-02-20, [0.9100643409285505, 15.83993565907145]
13288 : 2028-02-20, [0.9488701234344524, 16.051129876565547]
13289 : 2028-02-20, [0.9915694182144827, 16.258430581785515]
13290 : 2028-02-20, [1.0382965123438015, 16.4617034876562]
13291 : 2028-02-20, [1.0923496986504218, 16.657650301349577]
13292 : 2028-02-20, [1.1539918242173075, 16.846008175782693]
13293 : 2028-02-20, [1.223231034125246, 17.026768965874755]
13294 : 2028-02-20, [1.296294543122943, 17.203705456877056]
13295 : 2028-02-20, [1.3831637902332325, 17.366836209766767]
13296 : 2028-02-20, [0.14247131754785253, 18.85752868245215]
13297 : 2028-02-20, [0.2068753149842864, 19.043124685015716]
13298 : 2028-02-20, [0.27829529458725605, 19.22170470541274]
13299 : 2028-02-20, [0.38903372845564443, 19.360966271544353]
13300 : 2028-02-20, [0.5388098627425624, 19.461190137257436]
13301 : 2028-02-20, [0.39405301326130876, 19.85594698673869]
13302 : 2028-02-20, [0.4667634792959363, 20.03323652070406]
13303 : 2028-02-20, [0.5509865108846754, 20.199013489115323]
13304 : 2028-02-20, [0.6543288445996441, 20.345671155400353]
13305 : 2028-02-20, [0.8180998601693573, 20.431900139830642]
13306 : 2028-02-20, [1.0029482302814277, 20.497051769718574]
13307 : 2028-02-20, [0.7278148137159882, 21.022185186284013]
13308 : 2028-02-20, [0.8261284968358547, 21.173871503164143]
13309 : 2028-02-20, [0.9641286663461094, 21.28587133365389]
13310 : 2028-02-20, [1.18423863276093, 21.315761367239066]
13311 : 2028-02-20, [1.5340938218767581, 21.21590617812324]
13312 : 2028-02-20, [0.47179438455466, 22.52820561544534]
13313 : 2028-02-20, [1.6305668648675522, 21.619433135132446]
13314 : 2028-02-20, [0.37789305163488995, 23.12210694836511]
13315 : 2028-02-20, [1.4188567359586308, 22.33114326404137]
13316 : 2028-02-20, [0.33644675328506307, 23.66355324671494]
13317 : 2028-02-20, [0.8597558596273956, 23.390244140372605]
13318 : 2028-02-20, [1.6394529032491207, 22.860547096750878]
13319 : 2028-02-20, [0.19115987291684114, 24.558840127083158]
13320 : 2028-03-01, [0.6937206477189243, 9.306279352281075]
13321 : 2028-03-01, [0.7407585647899303, 9.50924143521007]
13322 : 2028-03-01, [0.7888344249469847, 9.711165575053016]
13323 : 2028-03-01, [0.8709815608086873, 9.879018439191313]
13324 : 2028-03-01, [0.9446654077033344, 10.055334592296665]
13325 : 2028-03-01, [0.10711644938123714, 11.142883550618764]
13326 : 2028-03-01, [0.36026691768445596, 11.139733082315544]
13327 : 2028-03-01, [0.3837242236212453, 11.366275776378755]
13328 : 2028-03-01, [0.5754513279172929, 11.42454867208271]
13329 : 2028-03-01, [0.605666457037045, 11.644333542962956]
13330 : 2028-03-01, [0.6390180618668392, 11.860981938133161]
13331 : 2028-03-01, [0.8089392766262725, 11.941060723373727]
13332 : 2028-03-01, [0.8497566448080945, 12.150243355191908]
13333 : 2028-03-01, [0.9087749910499576, 12.341225008950042]
13334 : 2028-03-01, [0.9584902932798062, 12.541509706720193]
13335 : 2028-03-01, [1.0144220160202075, 12.735577983979793]
13336 : 2028-03-01, [0.1198546090394022, 13.8801453909606]
13337 : 2028-03-01, [0.14959333398336735, 14.100406666016632]
13338 : 2028-03-01, [0.18168139645223416, 14.318318603547766]
13339 : 2028-03-01, [0.21610992534831927, 14.53389007465168]
13340 : 2028-03-01, [0.30224947853671363, 14.697750521463288]
13341 : 2028-03-01, [0.3460936146926459, 14.903906385307355]
13342 : 2028-03-01, [0.48282369879703574, 15.017176301202964]
13343 : 2028-03-01, [0.5156394583001856, 15.234360541699816]
13344 : 2028-03-01, [0.5524884511298714, 15.447511548870128]
13345 : 2028-03-01, [0.5936890611969083, 15.656310938803092]
13346 : 2028-03-01, [0.7111942713062303, 15.788805728693772]
13347 : 2028-03-01, [0.8689090223450641, 15.881090977654937]
13348 : 2028-03-01, [0.939870926952684, 16.060129073047314]
13349 : 2028-03-01, [0.9668004487463498, 16.28319955125365]
13350 : 2028-03-01, [1.0096636135946366, 16.490336386405364]
13351 : 2028-03-01, [1.0628982579142143, 16.687101742085787]
13352 : 2028-03-01, [1.1204014762139256, 16.879598523786076]
13353 : 2028-03-01, [1.1788608464795056, 17.071139153520495]
13354 : 2028-03-01, [1.2478666623857972, 17.252133337614204]
13355 : 2028-03-01, [1.3321602736443587, 17.41783972635564]
13356 : 2028-03-01, [1.411650536531963, 17.588349463468038]
13357 : 2028-03-01, [0.13834987709247107, 19.111650122907527]
13358 : 2028-03-01, [0.20937301354419577, 19.290626986455802]
13359 : 2028-03-01, [0.30368076820323125, 19.446319231796767]
