Itinerary: ['earth', 'venus', 'saturn', 'pluto']
case #: launch date, tof of each leg
258   : 2022-02-10, [0.22111997215107473, 0.743197715598528, 13.535682312250398]
259   : 2022-02-10, [0.22132450170679943, 0.738669200514367, 13.790006297778834]
260   : 2022-02-10, [0.18795621717921404, 2.88534054428729, 11.926703238533497]
261   : 2022-02-10, [0.18788009427462402, 2.9186972848301727, 12.143422620895203]
262   : 2022-02-10, [0.18766925241275456, 2.948786357260636, 12.363544390326611]
263   : 2022-02-10, [0.18890484919268438, 2.9858169115051125, 12.575278239302202]
264   : 2022-02-10, [0.18849757486076532, 3.014420111958438, 12.797082313180798]
265   : 2022-02-10, [0.18797298805761306, 3.0422786719460255, 13.019748339996362]
266   : 2022-02-10, [0.18737438508187798, 3.070681413976477, 13.241944200941644]
267   : 2022-02-10, [0.18662701845183638, 3.0973378541747363, 13.466035127373427]
268   : 2022-02-10, [0.18580104172516862, 3.1246569899058145, 13.689541968369017]
269   : 2022-02-10, [0.18486381697462695, 3.151277145075538, 13.913859037949834]
270   : 2022-02-10, [0.18377857252436722, 3.176115450336309, 14.140105977139322]
271   : 2022-02-10, [0.18262287452786663, 3.2016768117696217, 14.36570031370251]
272   : 2022-02-10, [0.179520557888349, 3.2172760134136373, 14.603203428698013]
273   : 2022-02-10, [0.1799226170634618, 3.2496978509773404, 14.820379531959198]
274   : 2022-02-10, [0.17656701086299562, 3.2650721363039725, 15.058360852833033]
275   : 2022-02-10, [0.17304133873315652, 3.2797587187403487, 15.297199942526493]
276   : 2022-02-10, [0.1692870777276975, 3.2921548724907916, 15.538558049781512]
277   : 2022-02-10, [0.1673584264195544, 3.31398750049922, 15.768654073081228]
278   : 2022-02-10, [0.16332054081726347, 3.326120739555741, 16.010558719626996]
279   : 2022-02-10, [0.1591005729758622, 3.337577112664117, 16.253322314360023]
280   : 2022-02-10, [0.15469438289040094, 3.3482999204635133, 16.497005696646088]
281   : 2022-02-10, [0.14796495563558468, 3.3471766726520866, 16.754858371712327]
282   : 2022-02-10, [0.4387546673854352, 2.038197623164504, 18.023047709450058]
283   : 2022-02-10, [0.44751244036540466, 2.0862185001867264, 18.216269059447868]
284   : 2022-02-10, [0.4563189534336546, 2.134101754551981, 18.409579292014364]
285   : 2022-02-10, [0.4631368119330168, 2.1707816979115293, 18.61608149015545]
286   : 2022-02-10, [0.4720344501735641, 2.219573492307101, 18.808392057519335]
287   : 2022-02-10, [0.48109113705908013, 2.2697457144226596, 18.99916314851826]
288   : 2022-02-10, [0.49214029004160387, 2.33093934197495, 19.176920367983445]
289   : 2022-02-10, [0.4991126191652344, 2.3685034176735127, 19.382383963161253]
290   : 2022-02-10, [0.5102640449699226, 2.430195849515247, 19.55954010551483]
291   : 2022-02-10, [0.5216595749062128, 2.494225551449983, 19.734114873643804]
292   : 2022-02-10, [0.5308206164177103, 2.5442350923369874, 19.924944291245303]
293   : 2022-02-10, [0.5402525232645023, 2.5969314980245564, 20.11281597871094]
294   : 2022-02-10, [0.5539226583895219, 2.6741918498388917, 20.271885491771584]
295   : 2022-02-10, [0.5611187206857506, 2.7126262933907457, 20.476254985923507]
296   : 2022-02-10, [0.5707196734811638, 2.766165100894766, 20.66311522562407]
297   : 2022-02-10, [0.5844166052561287, 2.842146028419827, 20.823437366324043]
298   : 2022-02-10, [0.6045775687468276, 3.00543875386149, 20.88998367739168]
299   : 2022-02-10, [0.6072132938155084, 3.015533300125699, 21.12725340605879]
300   : 2022-02-20, [0.19365469456935688, 0.6739937173266161, 9.132351588104028]
301   : 2022-02-20, [0.19699516036723014, 0.6826581956263247, 9.370346644006444]
302   : 2022-02-20, [0.2002673108946138, 0.6909487447543655, 9.60878394435102]
303   : 2022-02-20, [0.20348005942871078, 0.6988963890213992, 9.84762355154989]
304   : 2022-02-20, [0.20660342202697754, 0.7063985975736916, 10.086997980399332]
305   : 2022-02-20, [0.20967582196624354, 0.7134309561468724, 10.326893221886884]
306   : 2022-02-20, [0.211405520095029, 0.7120144343895757, 10.576580045515396]
307   : 2022-02-20, [0.21430437966122604, 0.7180840520737793, 10.817611568264995]
308   : 2022-02-20, [0.21713767490772987, 0.7237845342166326, 11.059077790875639]
309   : 2022-02-20, [0.21738765871309115, 0.7146214292004782, 11.317990912086431]
310   : 2022-02-20, [0.2200394231881683, 0.7192902584894373, 11.560670318322394]
311   : 2022-02-20, [0.2226285072824658, 0.7235996537807101, 11.803771838936823]
312   : 2022-02-20, [0.17519641056065402, 2.526774601775672, 10.298028987663674]
313   : 2022-02-20, [0.17794317520108963, 2.570387313894855, 10.501669510904055]
