Itinerary: ['earth', 'JUPITER_BARYCENTER', 'SATURN_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
2445  : 2023-02-10, [1.940869463333185, 4.334337004031042, 14.974793532635774]
2446  : 2023-02-10, [1.9698354090121029, 4.3866183400442615, 15.143546250943638]
2447  : 2023-02-10, [1.9995120492072576, 4.437952767197204, 15.31253518359554]
2448  : 2023-02-10, [2.0294053568000265, 4.489861141241125, 15.480733501958847]
2449  : 2023-02-10, [2.0595146274478084, 4.541986223243393, 15.6484991493088]
2450  : 2023-02-10, [2.089768261184646, 4.594557112003434, 15.81567462681192]
2451  : 2023-02-10, [2.120354517636917, 4.647228391367463, 15.98241709099562]
2452  : 2023-02-10, [2.151630120063792, 4.6991496423346835, 16.149220237601526]
2453  : 2023-02-10, [2.1825934984311526, 4.752132209986513, 16.315274291582334]
2454  : 2023-02-10, [2.21441724110235, 4.804706779694272, 16.480875979203375]
2455  : 2023-02-10, [2.2457620792326316, 4.858442869458599, 16.64579505130877]
2456  : 2023-02-10, [2.277982086739722, 4.911362009343221, 16.81065590391706]
2457  : 2023-02-10, [2.3103618909934847, 4.964797681386685, 16.97484042761983]
2458  : 2023-02-10, [2.3424107263220173, 5.019376213926312, 17.13821305975167]
2459  : 2023-02-10, [2.3752294692283464, 5.072845843431769, 17.301924687339884]
2460  : 2023-02-20, [0.7877509504482676, 2.061642372675367, 7.150606676876365]
2461  : 2023-02-20, [0.8092268221226364, 2.1122024431133184, 7.328570734764045]
2462  : 2023-02-20, [0.8307871943817219, 2.1628614910758834, 7.506351314542394]
2463  : 2023-02-20, [0.8524945691837277, 2.213488467377811, 7.684016963438461]
2464  : 2023-02-20, [0.8739694629770032, 2.264502805681772, 7.861527731341225]
2465  : 2023-02-20, [0.895856425192529, 2.3152497907670955, 8.038893784040376]
2466  : 2023-02-20, [0.9181077742934124, 2.36536730113677, 8.216524924569818]
2467  : 2023-02-20, [0.9402335951919172, 2.4160196048061566, 8.393746800001926]
2468  : 2023-02-20, [0.9623853451739116, 2.4666484641366533, 8.570966190689434]
2469  : 2023-02-20, [0.9846965400097588, 2.517257200205955, 8.748046259784287]
2470  : 2023-02-20, [1.007068571678933, 2.5679422144002313, 8.924989213920835]
2471  : 2023-02-20, [1.0295855187661256, 2.6185629391011203, 9.101851542132755]
2472  : 2023-02-20, [1.0525466439726963, 2.668959152858265, 9.27849420316904]
2473  : 2023-02-20, [1.0752787056298752, 2.719594391548797, 9.455126902821329]
2474  : 2023-02-20, [1.098120740188892, 2.7704514476801188, 9.631427812130989]
2475  : 2023-02-20, [1.1213865941598857, 2.8205826892240835, 9.808030716616031]
2476  : 2023-02-20, [1.144423746821405, 2.871420575929582, 9.984155677249014]
2477  : 2023-02-20, [1.16797459546793, 2.9217042529656307, 10.160321151566441]
2478  : 2023-02-20, [1.191252292329009, 2.972642479050625, 10.336105228620367]
2479  : 2023-02-20, [1.2150385888719173, 3.022958725942218, 10.512002685185864]
2480  : 2023-02-20, [1.2390069352477011, 3.073438520317265, 10.687554544435033]
2481  : 2023-02-20, [1.262621498929229, 3.1244621035011297, 10.862916397569641]
2482  : 2023-02-20, [1.286744129596096, 3.174781471736517, 11.038474398667386]
2483  : 2023-02-20, [1.3110184477373104, 3.2254293220679435, 11.213552230194747]
2484  : 2023-02-20, [1.3354769788617533, 3.276019831310078, 11.38850318982817]
2485  : 2023-02-20, [1.3599745436908153, 3.3266745189522897, 11.563350937356894]
2486  : 2023-02-20, [1.384685775030768, 3.3773373318048847, 11.737976893164348]
2487  : 2023-02-20, [1.4094326172834886, 3.4280700337996426, 11.912497348916869]
2488  : 2023-02-20, [1.4344249020344246, 3.478880731204485, 12.08669436676109]
2489  : 2023-02-20, [1.4594978016363886, 3.5298842092702647, 12.260617989093346]
2490  : 2023-02-20, [1.4846513372411112, 3.580829207898254, 12.434519454860634]
