Itinerary: ['earth', 'venus', 'mars', 'jupiter', 'pluto']
case #: launch date, tof of each leg
13181 : 2028-02-01, [0.2333740439589404, 1.6933208639609683, 3.027012411589545, 15.296292680490545]
13182 : 2028-02-01, [0.41576221162630755, 0.13624119786715894, 0.7979745583576457, 19.150022032148886]
13183 : 2028-02-01, [0.638811653418257, 0.9398226253566295, 2.5604354178508815, 16.610930303374232]
13184 : 2028-02-01, [0.6585168095481959, 0.9877020625039119, 2.5453718481546126, 16.80840927979328]
13185 : 2028-02-01, [0.6664046660959158, 1.1677677979945449, 2.3826202083828125, 17.033207327526725]
13186 : 2028-02-01, [0.6999515883538223, 1.215479139548628, 2.3842140201151776, 17.20035525198237]
13187 : 2028-02-01, [0.7606085630460927, 1.2713351416491303, 2.39233595615993, 17.325720339144848]
13188 : 2028-02-01, [0.8083314146710568, 1.3236308259656655, 2.403382457072119, 17.46465530229116]
13189 : 2028-02-01, [0.84317899813916, 1.3654597203537309, 2.414731381019352, 17.626629900487757]
13190 : 2028-02-01, [0.9279659829930511, 1.423630949968792, 2.478165161241644, 17.67023790579651]
13191 : 2028-02-01, [1.0013921776776518, 1.4632326823070656, 2.5481395867659287, 17.737235553249356]
13192 : 2028-02-01, [1.1471560881432132, 1.0271894555970869, 4.8927213588673, 15.932933097392398]
13193 : 2028-02-01, [1.211351246274731, 0.9922159045226068, 4.917624701028306, 16.128808148174357]
13194 : 2028-02-01, [0.516566797921878, 0.9313063456316347, 1.8170468022942488, 20.235080054152238]
13195 : 2028-02-01, [0.19680151306047244, 0.24847473962476782, 2.8336288163573484, 20.47109493095741]
13196 : 2028-02-01, [0.5112321473588725, 0.5925005306053585, 2.7795114181460523, 20.116755903889718]
13197 : 2028-02-01, [0.6948374896736362, 0.35171136971417505, 1.713432981818046, 21.490018158794143]
13198 : 2028-02-01, [0.10249441752459833, 0.5285789399005493, 1.8680841734282154, 22.000842469146637]
13199 : 2028-02-01, [0.5976006353585249, 0.9371309851342681, 2.2963847911201056, 20.9188835883871]
13200 : 2028-02-10, [0.42040293012813734, 0.6936481163857846, 0.7974123413249937, 8.088536612161084]
13201 : 2028-02-10, [0.4361972367904445, 0.7187196868804929, 0.8068217745063058, 8.288261301822757]
13202 : 2028-02-10, [0.08167073841781727, 0.7415961387486643, 1.4616305522313662, 8.215102570602152]
13203 : 2028-02-10, [0.5945876379589644, 0.9988690268439442, 0.8206564649676772, 8.335886870229412]
13204 : 2028-02-10, [0.5606217397989678, 0.8231608663357738, 0.9761170886815627, 8.640100305183696]
13205 : 2028-02-10, [0.5870521840623099, 0.8540075453405314, 0.987276660035284, 8.821663610561874]
13206 : 2028-02-10, [0.6409675021238965, 0.7335007333644815, 1.478062004607758, 8.647469759903863]
13207 : 2028-02-10, [0.05895447194160992, 0.797558974952753, 1.6017329416961708, 9.291753611409467]
13208 : 2028-02-10, [0.7092215867892178, 1.1016888140310062, 1.737406676715462, 8.451682922464315]
13209 : 2028-02-10, [0.1060310188611574, 0.3735303670829097, 1.1110659465098562, 10.659372667546076]
13210 : 2028-02-10, [0.10242403704609197, 0.7125050222147609, 3.2822238346234616, 8.402847106115686]
13211 : 2028-02-10, [0.10511200224078782, 0.7474245855626186, 3.325348884199152, 8.572114527997442]
13212 : 2028-02-10, [1.0434852969641424, 0.45027815256474163, 1.0576408574229061, 10.44859569304821]
13213 : 2028-02-10, [1.0853227949642519, 0.5192752180060549, 0.9789130650363178, 10.666488921993377]
13214 : 2028-02-10, [0.8254582329736941, 0.4406450352663993, 4.492927911337938, 7.740968820421968]
13215 : 2028-02-10, [0.8799958509212535, 0.5198191427436281, 4.507188367195053, 7.842996639140064]
13216 : 2028-02-10, [0.9527355097015118, 0.6099230397054235, 4.520604416543709, 7.916737034049355]
13217 : 2028-02-10, [1.0205404100018376, 0.6945207208022324, 4.525617007671384, 8.009321861524546]
13218 : 2028-02-10, [0.11129950170989623, 0.8503715308448255, 4.872241992431068, 8.666086975014208]
13219 : 2028-02-10, [0.6416655409510315, 1.2487836131028587, 0.7779866384272598, 12.081564207518849]
13220 : 2028-02-10, [0.8151888272091475, 0.6720883605384214, 3.7577258390732124, 9.754996973179217]
13221 : 2028-02-10, [1.1109758657831945, 1.690341291375498, 2.6942340074068665, 9.754448835434442]
13222 : 2028-02-10, [1.1620815406924248, 1.7503298204735382, 2.7416360364757026, 9.845952602358334]
13223 : 2028-02-10, [0.1112306479482152, 0.2820129525842188, 3.35087472005351, 12.005881679414058]
13224 : 2028-02-10, [0.1944807315876408, 0.37581765637483805, 3.3531284948168953, 12.076573117220624]
13225 : 2028-02-10, [1.1905075904234583, 0.3511185514720593, 1.698537851481583, 13.009836006622901]
